filiacao,familiares,familiares_quais,motivacao,tempo_existencia,peso_escolha,qualidade_programa,qualidade_lideres_nacionais,qualidade_lideres_regionais,bancadas_congresso,bancadas_estaduais_municipais,agenda_partido,agricultura_pecuária,educação,esportes_lazer,infraestrutura_urbana,saude,trabalho_emprego,transportes_publicos,artes_cultura,ciencia_tecnologia_inovacao,combate_homofobia,combate_racismo,igualdade_genero,meio_ambiente,representacao_mulheres_política,atividades_partido,atividades_formacao_politica,atuacao_campanhas_eleitorais,atuacao_campanhas_filiacao,cargos_administracao,concorrer_eleicao,cargos_pretende_concorrer,experiencia_importante,experiencia_comentario,idade,renda_familiar_mensal,escolaridade,area_formacao,religiao,situacao_ocupacional,setor_ocupacao,cor_raca,local_residencia,regiao_residencia,partido,espectro,materialista,pos_materialista,agenda,filiacao_familiar,filiacao_estudantil,filiacao_social,interior,metropolitana,capital,influencia_filiacao,espectro_binario,sexo,ponderacao
2,2,1,4,1,3,5,5,5,5,5,5,3,5,1,4,5,5,4,3,3,3,3,3,3,3,45,10,4,5,2,2,1,7,1,2,5,6,1,7,4,1,5,1,4,7,25,4.333333333333333,2.75,1,0,1,0,0,0,1,2,1,1,708
2,2,1,4,1,3,5,5,5,5,5,5,1,5,2,4,5,5,4,2,3,3,3,3,3,3,51,10,4,5,2,2,1,7,1,3,5,5,1,7,1,1,5,1,2,7,25,4,2.75,1,0,1,0,0,0,1,2,1,1,708
2,2,1,4,3,3,5,5,5,5,5,5,1,5,2,4,5,5,4,3,4,2,2,2,3,3,3,2,1,1,2,2,1,3,1,1,2,5,1,5,4,1,5,1,1,21,25,4,2625,1,0,1,0,0,0,1,2,1,1,708
2,2,1,6,3,3,5,5,5,5,5,5,4,5,2,5,5,5,5,2,4,3,3,3,3,3,3,11,5,5,2,2,1,3,1,3,5,5,1,5,3,1,1,1,1,21,25,4.833333333333333,2875,1,0,1,0,0,0,1,2,1,1,708
2,2,1,4,3,3,5,5,5,5,5,5,2,5,2,5,5,5,5,2,5,2,2,2,3,3,22,3,4,5,2,2,1,3,1,1,5,2,1,3,4,1,1,1,5,21,25,4.5,2625,1,0,1,0,0,0,1,2,1,1,708
3,2,1,9,1,3,5,5,5,5,5,5,1,5,1,5,5,5,5,1,3,3,3,3,3,3,32,10,4,5,1,1,1,7,85,2,4,4,4,6,3,1,4,1,4,29,25,4.333333333333333,2.5,1,0,0,1,0,0,1,3,1,1,708
3,2,1,9,1,3,5,5,5,5,5,5,1,5,1,5,5,5,5,3,3,3,3,3,2,4,32,10,4,5,3,3,3,7,9,3,4,5,1,6,4,1,4,1,5,29,25,4.333333333333333,2.75,1,0,0,1,0,0,1,3,1,1,708
3,2,1,9,1,3,5,5,5,5,5,5,2,5,2,5,5,5,5,2,4,3,3,4,2,4,5,10,4,5,3,3,3,3,1,3,5,3,1,3,2,5,5,1,2,29,25,4.5,3,1,0,0,1,0,0,1,3,1,1,708
3,2,1,9,1,3,5,5,5,5,5,5,2,5,2,5,5,5,5,5,4,4,4,4,2,4,25,10,4,5,1,1,1,3,1,3,2,5,1,3,2,3,4,1,4,29,25,4.5,3625,1,0,0,1,0,0,1,3,1,1,708
3,2,1,9,1,3,5,5,5,5,5,5,1,5,2,5,5,5,5,1,5,5,5,5,3,5,30,10,4,5,3,3,3,3,1,3,5,4,6,5,2,3,5,1,5,29,25,4.333333333333333,3875,1,0,0,1,0,0,1,3,1,1,708
3,2,1,9,1,3,5,5,5,5,5,5,1,5,1,5,5,5,5,1,5,5,5,5,4,5,29,10,4,5,1,1,1,3,1,3,2,3,1,5,2,3,4,1,4,29,25,4.333333333333333,3875,1,0,0,1,0,0,1,3,1,1,708
4,2,1,4,1,3,5,5,5,5,5,5,4,5,2,4,5,5,4,3,3,3,3,3,3,3,3,10,4,5,2,2,1,7,59,3,4,6,1,6,1,1,2,1,2,7,25,4.5,2875,1,0,0,0,0,0,1, ,1,1,708
4,2,1,4,1,3,5,5,5,5,5,5,1,5,1,4,4,5,4,3,3,3,3,3,3,3,46,10,4,5,2,2,1,7,40,3,2,5,1,6,2,5,2,1,5,7,25,3.8333333333333335,2.75,1,0,0,0,0,0,1, ,1,1,708
4,2,1,4,1,3,5,5,5,5,5,5,1,5,1,4,4,5,4,3,3,3,3,3,3,3,36,10,4,5,2,2,1,7,1,3,2,6,1,6,3,1,2,1,2,7,25,3.8333333333333335,2.75,1,0,0,0,0,0,1, ,1,1,708
2,2,1,17,3,1,5,5,5,5,5,5,4,5,2,4,5,5,5,2,3,1,1,1,1,1,4,34,1,1,1,1,1,3,50,2,6,6,1,5,4,1,2,1,4,9,30,4.666666666666667,1.5,1,0,1,0,0,0,1,2,1,1,708
2,2,1,21,3,1,5,5,5,5,5,5,2,5,1,3,5,5,4,2,3,1,1,1,1,1,1,29,1,1,3,3,8,3,74,2,6,2,1,4,1,1,4,1,2,18,30,4,1375,1,0,1,0,0,0,1,2,1,1,708
